|GCZP2A     | Chromite - FeOCr2O3 - DP/EC5 | BRAGANCA   | danieloliveira | 41.80 | -6.88 | EARTHCACHE | NOT_CHOSEN | 1.00 | 1.50 | AVAILABLE  | 2006/12/05 | 62 | 2 | 2 | 838
|GC140Y9    | Ponto Novo      | LEIRIA     | dupladepeso | 39.77 | -9.00 | MULTI      | SMALL      | 3.00 | 2.50 | AVAILABLE  | 2007/06/30 | 442 | 39 | 5 | 93
|GC154F9    | Neves do Pinheiro | AVEIRO     | triplebrand | 40.47 | -8.42 | TRADITIONAL | SMALL      | 1.50 | 1.50 | AVAILABLE  | 2007/08/13 | 381 | 3 | 0 | 53
|GCRFDP     | Pateira de Fermentelos [Agueda] | AVEIRO     | Macafe     | 40.57 | -8.53 | MULTI      | REGULAR    | 2.00 | 1.50 | AVAILABLE  | 2005/11/26 | 343 | 7 | 16 | 16
|GC14M5D    | Bonjoia Heraldic Riddle | PORTO      | kidloco    | 41.15 | -8.58 | PUZZLE     | SMALL      | 3.00 | 1.50 | AVAILABLE  | 2007/07/26 | 229 | 8 | 7 | 39
|GC14RM9    | Curral do Negro [Gouveia] | GUARDA     | cmatos     | 40.49 | -7.57 | TRADITIONAL | REGULAR    | 1.50 | 1.50 | AVAILABLE  | 2007/07/28 | 292 | 1 | 6 | 887
|GC16E3D    | Belas Cache     | LISBOA     | sduarte    | 38.79 | -9.26 | MULTI      | LARGE      | 2.50 | 2.50 | AVAILABLE  | 2007/10/20 | 148 | 9 | 13 | 179
|GC16PZM    | O Moinho [Cacilhas] | SETUBAL    | tmob       | 38.69 | -9.15 | TRADITIONAL | SMALL      | 1.00 | 1.50 | AVAILABLE  | 2007/10/15 | 1084 | 16 | 9 | 6
|GC15TPE    | Sr. da Saude [Vale de Cambra] | AVEIRO     | daraopedal | 40.80 | -8.38 | TRADITIONAL | SMALL      | 2.00 | 2.50 | AVAILABLE  | 2007/09/08 | 233 | 2 | 0 | 687
|GCPTNN     | Castro de Sao Paio [Labruge - Vila do Conde] | PORTO      | protoZoa   | 41.28 | -8.73 | TRADITIONAL | REGULAR    | 1.00 | 2.00 | AVAILABLE  | 2005/07/20 | 743 | 5 | 39 | 7
|GC16GB3    | Nossa Sr. d'Aires (Viana Alentejo) | EVORA      | tirapicos team | 38.34 | -7.99 | TRADITIONAL | MICRO      | 1.50 | 1.50 | AVAILABLE  | 2007/10/07 | 347 | 13 | 10 | 212
|GC16FRZ    | APULIA - PMI 2  | BRAGA      | eterlusitano | 41.49 | -8.78 | TRADITIONAL | SMALL      | 1.50 | 1.50 | AVAILABLE  | 2007/10/07 | 540 | 65 | 1 | 3
|GC1563H    | Capela Sao Luis da Serra [Setubal] | SETUBAL    | NFreitas   | 38.53 | -8.93 | MULTI      | REGULAR    | 3.00 | 2.50 | AVAILABLE  | 2007/08/15 | 319 | 5 | 1 | 154
|GC158JW    | Down Under      | FARO       | kidloco    | 37.07 | -8.29 | PUZZLE     | REGULAR    | 3.00 | 2.00 | AVAILABLE  | 2007/09/18 | 465 | 34 | 135 | 15
|GC173T7    | Farol do cabo (Sesimbra) | SETUBAL    | Os Galaxy  | 38.41 | -9.22 | TRADITIONAL | SMALL      | 2.00 | 1.00 | AVAILABLE  | 2007/11/01 | 1292 | 19 | 11 | 121
|GC10K6Z    | The Enigma Experience | FARO       | Team Caracache | 37.11 | -8.68 | PUZZLE     | REGULAR    | 2.50 | 1.00 | AVAILABLE  | 2007/01/27 | 193 | 6 | 21 | -9999999
|GC1223G    | Portas de Montemuro | VISEU      | almeidara  | 40.97 | -8.01 | TRADITIONAL | REGULAR    | 2.00 | 2.00 | AVAILABLE  | 2007/04/09 | 176 | 1 | 5 | 1203
|GCQ0JQ     | Mafra Real      | LISBOA     | play mobil | 38.94 | -9.32 | TRADITIONAL | REGULAR    | 1.50 | 1.00 | AVAILABLE  | 2005/08/05 | 1265 | 50 | 21 | 245
|GC513F     | A great view of Lisbon [Lisboa] | LISBOA     | orebelo    | 38.71 | -9.13 | VIRTUAL    | VIRTUAL    | 1.00 | 1.00 | AVAILABLE  | 2002/04/25 | 2612 | 8 | 297 | 84
|GCXB38     | Passeio pelo Parque de Montachique [ Loures ] | LISBOA     | B.O.D.A.   | 38.90 | -9.18 | TRADITIONAL | SMALL      | 3.50 | 3.00 | AVAILABLE  | 2006/07/22 | 608 | 10 | 2 | -9999999
|GC14NKV    | Bureau de Change | FARO       | cmma07     | 37.25 | -7.58 | TRADITIONAL | SMALL      | 1.50 | 3.00 | AVAILABLE  | 2007/07/27 | 105 | 0 | 3 | 265
|GC12MV8    | Santo Isidro de Pegoes [Montijo] | SETUBAL    | Tanyne     | 38.68 | -8.66 | TRADITIONAL | SMALL      | 1.00 | 1.00 | AVAILABLE  | 2007/05/05 | 542 | 11 | 7 | 60
|GCR5F7     | Senhora Emigrantes-(Castelo Neiva) | VIANA DO CASTELO | cou        | 41.61 | -8.78 | TRADITIONAL | REGULAR    | 4.00 | 4.00 | AVAILABLE  | 2005/10/23 | 402 | 10 | 19 | -9999999
|GCQJTW     | Cerro da Cabeca Karren field [Olhao] | FARO       | alieri     | 37.11 | -7.78 | TRADITIONAL | REGULAR    | 2.00 | 4.00 | AVAILABLE  | 2005/09/16 | 156 | 5 | 39 | 226
|GC167NE    | Barros PE - Projecto VG [Az. Barros-Grandola] | SETUBAL    | MightyReek | 38.05 | -8.44 | TRADITIONAL | SMALL      | 1.00 | 1.50 | AVAILABLE  | 2007/09/26 | 220 | 0 | 3 | -9999999
|GCZ84D     | Albandeira [Lagoa] | FARO       | prodrive   | 37.09 | -8.40 | TRADITIONAL | REGULAR    | 1.00 | 1.50 | AVAILABLE  | 2006/10/29 | 1112 | 25 | 59 | 0
|GC14T2P    | Aqueduto dos Pegoes [Thomar] | SANTAREM   | paulohercules | 39.61 | -8.44 | MULTI      | SMALL      | 2.00 | 4.00 | AVAILABLE  | 2007/08/19 | 495 | 16 | 165 | 105
|GCGGAY     | The Lonely Lookout | LISBOA     | GreenShades | 38.77 | -9.49 | TRADITIONAL | REGULAR    | 2.00 | 3.00 | AVAILABLE  | 2003/07/12 | 232 | 5 | 66 | 67
|GC16330    | Eolo - Deus do vento[Coto do Boi-Geoparque Arouca]AVEIRO | AVEIRO     | daraopedal | 40.89 | -8.23 | TRADITIONAL | SMALL      | 1.50 | 2.00 | AVAILABLE  | 2007/09/20 | 73 | 3 | 6 | 958
|GC11R16    | Monte da Tumba [Torrao] | SETUBAL    | almeidara  | 38.28 | -8.23 | TRADITIONAL | REGULAR    | 1.50 | 1.50 | AVAILABLE  | 2007/03/28 | 189 | 5 | 4 | -9999999
|GCXMV1     | Ribeira d'Ilhas [Mafra] | LISBOA     | Bargao_Henriques | 38.99 | -9.42 | TRADITIONAL | REGULAR    | 1.50 | 2.00 | AVAILABLE  | 2006/08/11 | 782 | 10 | 24 | 16
|GC156CP    | Ponta do Landeiro [Milfontes Powertrail #6] | BEJA       | btrodrigues | 37.75 | -8.81 | TRADITIONAL | REGULAR    | 1.50 | 2.50 | AVAILABLE  | 2007/08/13 | 403 | 0 | 11 | 19
|GC10DPG    | Buy, Buy, Buy [Colombo] | LISBOA     | almeidara  | 38.76 | -9.19 | MULTI      | MICRO      | 2.00 | 1.50 | AVAILABLE  | 2007/01/16 | 265 | 16 | 19 | 94
|GCZ9WE     | Stadium Algarve [Faro - Loule] | FARO       | Torgut     | 37.09 | -7.98 | MULTI      | REGULAR    | 1.00 | 1.00 | AVAILABLE  | 2006/11/10 | 512 | 11 | 8 | 41
|GC174X7    | ARRIFE Total    | SANTAREM   | sammendes  | 39.51 | -8.57 | PUZZLE     | OTHER_SIZE | 2.50 | 2.50 | AVAILABLE  | 2007/11/03 | 76 | 0 | 17 | 119
|GCQDE4     | POR CAMINHOS ESQUECIDOS! | LISBOA     | toscanatt  | 38.86 | -9.35 | MULTI      | SMALL      | 2.50 | 3.50 | AVAILABLE  | 2005/09/03 | 184 | 14 | 24 | 61
|GC16555    | Castro das Caldas [Gondizalves] | BRAGA      | 20 ver     | 41.54 | -8.47 | TRADITIONAL | REGULAR    | 2.00 | 4.00 | AVAILABLE  | 2007/09/23 | 141 | 2 | 1 | 263
|GC15WEE    | QUE VISTA BEM APARECIDA !! | PORTO      | eterlusitano | 41.37 | -8.15 | TRADITIONAL | MICRO      | 2.50 | 2.00 | AVAILABLE  | 2007/09/11 | 88 | 17 | 3 | -9999999
|GC115GG    | Footprints in the sand - DP/EC8 | LISBOA     | danieloliveira | 38.81 | -9.48 | EARTHCACHE | NOT_CHOSEN | 1.50 | 3.00 | AVAILABLE  | 2007/02/26 | 248 | 1 | 31 | 49
|GC16AY7    | Funicular dos Guindais | PORTO      | Macafe     | 41.14 | -8.61 | TRADITIONAL | SMALL      | 2.00 | 1.50 | AVAILABLE  | 2007/09/02 | 2402 | 56 | 70 | 81
|GCW37V     | Lost in Cabeca [Seia] | GUARDA     | Geografo   | 40.32 | -7.74 | TRADITIONAL | SMALL      | 1.50 | 2.50 | DISABLED   | 2006/05/17 | 135 | 19 | 10 | 477
|GCW061     | GnE II e - Sushi Nemo (DP 16) | LISBOA     | danieloliveira | 38.75 | -9.47 | TRADITIONAL | REGULAR    | 1.00 | 1.50 | AVAILABLE  | 2006/05/19 | 296 | 1 | 8 | 60
|GC13B9B    | The Electro Box | LISBOA     | clcortez   | 38.88 | -9.14 | TRADITIONAL | LARGE      | 3.50 | 4.00 | AVAILABLE  | 2007/06/01 | 124 | 14 | 19 | 195
|GC172GE    | Barragem do Pego da Moura [Grandola] | SETUBAL    | MightyReek | 38.16 | -8.58 | TRADITIONAL | SMALL      | 1.00 | 1.50 | AVAILABLE  | 2007/10/27 | 369 | 14 | 7 | -9999999
|GCMA39     | The Covelo Park (Porto) | PORTO      | zoom_bee   | 41.17 | -8.61 | TRADITIONAL | MICRO      | 1.50 | 1.00 | DISABLED   | 2004/12/19 | 778 | 51 | 6 | 129
|GCV5JJ     | Santa Eufemia da Serra [Sintra] | LISBOA     | play mobil | 38.79 | -9.39 | TRADITIONAL | SMALL      | 2.50 | 2.00 | AVAILABLE  | 2006/04/01 | 1139 | 31 | 69 | 437
|GC11YE6    | The Peak of Peaks [Braga] | BRAGA      | jcr        | 41.57 | -8.34 | TRADITIONAL | REGULAR    | 3.50 | 4.00 | AVAILABLE  | 2007/04/05 | 119 | 5 | 7 | 549
|GCXVWF     | Casa Florestal do Pisao | VISEU      | Panda Becas | 40.80 | -8.13 | TRADITIONAL | REGULAR    | 2.00 | 2.00 | AVAILABLE  | 2006/08/20 | 231 | 2 | 4 | 521
|GCX3Y3     | 22.5 House Barao Sao Joao area, Algarve | FARO       | Team Caracache | 37.16 | -8.80 | MULTI      | SMALL      | 3.00 | 3.00 | AVAILABLE  | 2006/07/12 | 61 | 4 | 3 | 143
|GC15P9Z    | AA11 - Dom Quixote | SANTAREM   | K!mPossible | 39.59 | -8.67 | TRADITIONAL | REGULAR    | 2.50 | 2.00 | AVAILABLE  | 2007/09/04 | 167 | 3 | 0 | 459
|GCKNMB     | Old Dam Wall    | FARO       | outonaboat | 37.15 | -8.69 | TRADITIONAL | REGULAR    | 2.00 | 1.00 | AVAILABLE  | 2004/09/28 | 255 | 7 | 3 | -9999999
|GC111CZ    | The Circuit of the Coke [:)] | BEJA       | almeidara  | 37.58 | -8.26 | MULTI      | REGULAR    | 1.50 | 1.50 | AVAILABLE  | 2007/02/19 | 93 | 4 | 5 | 209
|GC1598Y    | PORTO D'OLHO    | BRAGA      | eterlusitano | 41.58 | -7.97 | TRADITIONAL | SMALL      | 2.00 | 2.00 | AVAILABLE  | 2007/08/20 | 73 | 2 | 5 | -9999999
|GCT7ET     | PORTAS DE S.PEDRO | PORTO      | tapauere   | 41.29 | -8.61 | TRADITIONAL | REGULAR    | 2.00 | 1.50 | AVAILABLE  | 2006/01/29 | 569 | 17 | 1 | 132
|GC13G35    | SANTO ANTONINO  | BRAGA      | eterlusitano | 41.44 | -8.24 | TRADITIONAL | REGULAR    | 2.00 | 3.00 | AVAILABLE  | 2007/06/08 | 119 | 23 | 1 | 488
|GC16EGD    | ST15 - CAMPO DE AVIACAO | BRAGA      | SPY_Team   | 41.59 | -8.44 | MULTI      | REGULAR    | 2.50 | 1.50 | AVAILABLE  | 2007/10/05 | 234 | 3 | 1 | -9999999
|GC16R8A    | ST20 - CASTRO SABROSO | BRAGA      | SPY_Team   | 41.51 | -8.34 | TRADITIONAL | REGULAR    | 1.50 | 3.00 | AVAILABLE  | 2007/10/17 | 92 | 1 | 2 | -9999999
|GC140YD    | Where is the river? | PORTALEGRE | manelov    | 39.34 | -7.89 | TRADITIONAL | REGULAR    | 1.00 | 2.50 | AVAILABLE  | 2007/06/30 | 86 | 0 | 5 | 171
|GCYM2B     | Olh'o Castelo [Torres Vedras] | LISBOA     | vsergios   | 39.09 | -9.26 | TRADITIONAL | SMALL      | 1.00 | 1.50 | AVAILABLE  | 2006/10/01 | 650 | 22 | 9 | 32
|GC12ETJ    | Cidai Pilgrim   | PORTO      | kidloco    | 41.32 | -8.59 | TRADITIONAL | SMALL      | 1.00 | 1.50 | AVAILABLE  | 2007/04/26 | 412 | 8 | 3 | 181
|GC16JJM    | Milagre ao Amanhecer (Nazare) | LEIRIA     | Lancenorte | 39.60 | -9.08 | TRADITIONAL | MICRO      | 1.00 | 1.00 | AVAILABLE  | 2007/10/10 | 1795 | 34 | 28 | 59
|GC4B0D     | The Bear Treasure | LEIRIA     | GreenShades | 39.99 | -8.91 | TRADITIONAL | LARGE      | 2.00 | 3.00 | AVAILABLE  | 2002/04/07 | 316 | 4 | 37 | 7
|GCN0N8     | Rocha dos Louros | ARQUIPELAGO DA MADEIRA | macmurphy  | 32.76 | -17.14 | TRADITIONAL | MICRO      | 3.00 | 4.00 | AVAILABLE  | 2005/03/01 | 1178 | 18 | 39 | 1001
|GC11JM4    | Pousada [Almada] | SETUBAL    | almeidara  | 38.68 | -9.18 | MULTI      | REGULAR    | 1.50 | 2.00 | AVAILABLE  | 2007/03/20 | 202 | 17 | 9 | -9999999
|GCYKH1     | Tremelgo nas alturas [Marinha Grande] | LEIRIA     | olharapo   | 39.74 | -8.97 | TRADITIONAL | REGULAR    | 2.00 | 5.00 | AVAILABLE  | 2006/09/17 | 197 | 21 | 73 | 81
|GCRR0E     | Os Calvarios    | BEJA       | MAntunes   | 37.70 | -7.45 | MULTI      | REGULAR    | 2.00 | 4.00 | AVAILABLE  | 2005/12/26 | 36 | 3 | 17 | 63
|GC16DN4    | The Ghost Bridge | PORTALEGRE | mytipower  | 39.24 | -8.00 | TRADITIONAL | MICRO      | 2.50 | 2.00 | AVAILABLE  | 2007/10/04 | 232 | 13 | 11 | 106
|GC178D3    | A torre do javali | EVORA      | Francis Carm | 38.22 | -7.48 | MULTI      | REGULAR    | 4.00 | 4.00 | AVAILABLE  | 2007/11/05 | 16 | 0 | 3 | 151
|GCX9P2     | Pedra da Ferida [Penela] | COIMBRA    | gredinha   | 40.02 | -8.32 | MULTI      | SMALL      | 3.00 | 2.50 | AVAILABLE  | 2006/07/22 | 175 | 21 | 46 | -9999999
|GC15X30    | CASTELO DE BODE | SANTAREM   | Paulo Martins | 39.54 | -8.32 | TRADITIONAL | REGULAR    | 1.50 | 2.50 | AVAILABLE  | 2007/09/12 | 473 | 1 | 25 | 72
|GCW1JD     | Amon Hen II - O Cume da Visao | LISBOA     | MAntunes   | 38.78 | -9.46 | TRADITIONAL | REGULAR    | 2.00 | 2.50 | AVAILABLE  | 2006/05/14 | 375 | 54 | 86 | -9999999
|GCJRPT     | Castelo         | LISBOA     | bye_xinha  | 38.72 | -9.28 | TRADITIONAL | SMALL      | 3.00 | 2.50 | AVAILABLE  | 2004/06/22 | 349 | 5 | 14 | 100
|GC12CTB    | My name is Sor, Ponte de Sor | PORTALEGRE | manelov    | 39.24 | -8.00 | TRADITIONAL | SMALL      | 2.00 | 2.00 | AVAILABLE  | 2007/04/23 | 178 | 6 | 3 | 171
|GC16A3V    | Sea on the rocks | LISBOA     | geosuchs   | 38.89 | -9.44 | TRADITIONAL | REGULAR    | 3.00 | 1.50 | AVAILABLE  | 2007/09/29 | 224 | 2 | 1 | 51
|GC13Z4G    | Tongobriga Roman City | PORTO      | kidloco    | 41.17 | -8.15 | TRADITIONAL | SMALL      | 2.00 | 2.00 | AVAILABLE  | 2007/06/29 | 224 | 5 | 8 | -9999999
|GCY1YC     | SE de Portugal [V.R. Sto. Antonio] | FARO       | NFreitas   | 37.19 | -7.42 | MULTI      | SMALL      | 2.00 | 1.50 | AVAILABLE  | 2006/08/31 | 515 | 62 | 5 | 2
|GC10ZNM    | DP30 - Montesinho | BRAGANCA   | danieloliveira | 41.95 | -6.76 | TRADITIONAL | REGULAR    | 1.00 | 2.00 | AVAILABLE  | 2007/03/05 | 124 | 0 | 3 | 1213
|GC12CRJ    | The End of the World [Sagres] | FARO       | funkymunkyzone | 37.02 | -9.00 | TRADITIONAL | SMALL      | 1.50 | 2.00 | AVAILABLE  | 2007/04/23 | 3761 | 9 | 440 | 32
|GCQ50D     | Secret door to Cornusela | GUARDA     | afonso_loureiro | 40.35 | -7.17 | MULTI      | SMALL      | 3.00 | 4.50 | AVAILABLE  | 2005/08/10 | 43 | 10 | 10 | 906
|GCQQ9H     | Penedos de Gois | COIMBRA    | grade      | 40.11 | -8.13 | TRADITIONAL | LARGE      | 4.00 | 4.00 | AVAILABLE  | 2005/09/25 | 126 | 1 | 59 | -9999999
|GCTN9M     | Monte de Sao Gabriel | GUARDA     | [Walrus]   | 41.03 | -7.08 | TRADITIONAL | REGULAR    | 2.00 | 2.50 | AVAILABLE  | 2006/02/28 | 227 | 0 | 14 | 555
|GC16Y7F    | # 11-PR-BAO-CAMINHO DE JACINTO: TORMES | PORTO      | eterlusitano | 41.12 | -8.00 | TRADITIONAL | SMALL      | 2.00 | 1.50 | AVAILABLE  | 2007/10/24 | 131 | 11 | 0 | 338
|GCPAZT     | Historical Villages - Castelo Mendo | GUARDA     | [Walrus]   | 40.59 | -6.95 | TRADITIONAL | REGULAR    | 2.00 | 2.50 | AVAILABLE  | 2005/06/16 | 357 | 6 | 22 | 705
|GC161RH    | ANTIGA ESTALAGEM  | PORTO      | eterlusitano | 41.30 | -7.99 | TRADITIONAL | SMALL      | 2.00 | 1.50 | AVAILABLE  | 2007/09/18 | 72 | 2 | 6 | -9999999
|GC13TFV    | Cerro dos Negros [Salir - Loule] | FARO       | daraopedal | 37.26 | -8.05 | TRADITIONAL | SMALL      | 2.00 | 4.00 | AVAILABLE  | 2007/06/20 | 80 | 1 | 9 | 454
|GC13DXT    | Medieval Challenge | PORTO      | kidloco    | 41.14 | -8.61 | MULTI      | MICRO      | 4.50 | 3.50 | AVAILABLE  | 2007/06/06 | 186 | 33 | 22 | -9999999
|GCYHJ1     | Silhas dos Ursos [Parque Nacional Peneda-Geres] | BRAGA      | razalas    | 41.75 | -8.17 | MULTI      | REGULAR    | 2.50 | 4.00 | AVAILABLE  | 2006/09/15 | 138 | 5 | 26 | 915
|GC11C9F    | DP 33 - Serra de Bornes | BRAGANCA   | danieloliveira | 41.43 | -7.01 | TRADITIONAL | SMALL      | 1.50 | 2.00 | AVAILABLE  | 2007/03/09 | 94 | 7 | 8 | 1134
|GC163XK    | Centro Cultural e de Congressos [Aveiro] | AVEIRO     | dfsilva    | 40.64 | -8.65 | TRADITIONAL | SMALL      | 2.00 | 1.00 | AVAILABLE  | 2007/09/21 | 1633 | 41 | 8 | -9999999
|GCXEAK     | PROJECTO VG - ALTER PEDROSO | PORTALEGRE | Portelada  | 39.19 | -7.62 | TRADITIONAL | SMALL      | 2.00 | 2.00 | AVAILABLE  | 2006/07/31 | 250 | 12 | 14 | 380
|GC14GPJ    | MOSTEIRO DE RORIZ | PORTO      | eterlusitano | 41.34 | -8.38 | TRADITIONAL | MICRO      | 1.50 | 1.50 | AVAILABLE  | 2007/07/20 | 264 | 5 | 2 | 216
|GCK9AJ     | Tronqueira      | ARQUIPELAGO DOS ACORES | nurbocris  | 37.80 | -25.18 | TRADITIONAL | MICRO      | 2.50 | 1.50 | AVAILABLE  | 2004/08/12 | 229 | 22 | 14 | 657
|GCP9A4     | Lapa da Columbeira [Bombarral] | LEIRIA     | paulohercules | 39.30 | -9.20 | TRADITIONAL | REGULAR    | 2.50 | 4.00 | AVAILABLE  | 2005/06/12 | 275 | 11 | 45 | 108
|GCWDRF     | Paul de Arzila [Coimbra] | COIMBRA    | cachespoter | 40.18 | -8.55 | TRADITIONAL | REGULAR    | 1.50 | 1.50 | AVAILABLE  | 2006/06/02 | 392 | 9 | 12 | -9999999
|GC14562    | Foz Castle      | PORTO      | kidloco    | 41.15 | -8.67 | MULTI      | MICRO      | 2.00 | 1.50 | AVAILABLE  | 2007/07/12 | 242 | 36 | 7 | 7
|GC14QEY    | Percurso Aldeia Nova [Monte Gordo] | FARO       | alieri     | 37.18 | -7.47 | TRADITIONAL | SMALL      | 2.50 | 1.50 | AVAILABLE  | 2007/07/28 | 627 | 11 | 8 | 5
|GC1779Z    | A Passagem [Cartaxo] | SANTAREM   | FamiliaSilvestre | 39.10 | -8.73 | TRADITIONAL | SMALL      | 2.50 | 2.50 | AVAILABLE  | 2007/11/03 | 348 | 15 | 23 | 5
|GCVN3W     | The Mountain Shrine [Lousa] | COIMBRA    | Geografo   | 40.10 | -8.24 | TRADITIONAL | MICRO      | 3.50 | 2.00 | AVAILABLE  | 2006/04/24 | 585 | 7 | 30 | -9999999
|GC10WZ9    | Mamoas de Fulom [Junqueira - Vila do Conde] | PORTO      | eniel      | 41.39 | -8.67 | TRADITIONAL | SMALL      | 1.50 | 2.00 | AVAILABLE  | 2007/02/11 | 288 | 4 | 1 | 50
|GC16VWB    | ST22 - PONTE DO PORTO | BRAGA      | plntrplntr | 41.62 | -8.34 | TRADITIONAL | MICRO      | 2.00 | 1.50 | AVAILABLE  | 2007/10/21 | 422 | 26 | 5 | 31
|GC15E3K    | Colcurinho [Oliveira do Hospital] | COIMBRA    | team.fafnir | 40.28 | -7.83 | MULTI      | REGULAR    | 2.00 | 2.00 | AVAILABLE  | 2007/08/26 | 130 | 6 | 37 | 650
|GCQB3A     | Lagoas Bertiandos (Ponte Lima) | VIANA DO CASTELO | cou        | 41.77 | -8.63 | TRADITIONAL | REGULAR    | 2.00 | 2.50 | AVAILABLE  | 2005/08/28 | 302 | 8 | 15 | -9999999
|GCRQT1     | Guns of Navarone [Trafaria] | SETUBAL    | B.O.D.A.   | 38.67 | -9.24 | TRADITIONAL | REGULAR    | 2.00 | 2.00 | AVAILABLE  | 2005/12/26 | 612 | 9 | 100 | -9999999
|GCTYDB     | Ruinas do Pharol do Cabo Mondego | COIMBRA    | rifkindsss | 40.18 | -8.91 | MULTI      | SMALL      | 2.00 | 2.00 | AVAILABLE  | 2006/03/18 | 551 | 12 | 6 | 61
|GCKN5V     | Obidos          | LEIRIA     | hulkman    | 39.36 | -9.16 | TRADITIONAL | REGULAR    | 1.50 | 2.50 | AVAILABLE  | 2004/09/26 | 1403 | 64 | 39 | 43
|GC7177     | Monumentos Megaliticos (Castelo de Vide) | PORTALEGRE | acaciolobo | 39.40 | -7.49 | MULTI      | OTHER_SIZE | 1.50 | 1.50 | AVAILABLE  | 2002/07/15 | 185 | 4 | 16 | 401
|GC14J75    | Seaside Heights [Albufeira] | FARO       | Bringer    | 37.09 | -8.17 | MULTI      | REGULAR    | 2.00 | 3.00 | AVAILABLE  | 2007/07/22 | 610 | 15 | 48 | 12
|GCQHWR     | Vicky           | VILA REAL  | Amaro_Team | 41.81 | -7.96 | TRADITIONAL | REGULAR    | 4.00 | 3.50 | AVAILABLE  | 2005/09/10 | 38 | 0 | 12 | 808
|GC13MBB    | Fogo            | VILA REAL  | Reino Maravilhoso | 41.17 | -7.67 | MULTI      | REGULAR    | 2.00 | 2.00 | AVAILABLE  | 2007/06/14 | 95 | 2 | 4 | 616
|GCG2QA     | Palmela         | SETUBAL    | Chris & Martha | 38.57 | -8.90 | VIRTUAL    | VIRTUAL    | 1.50 | 2.50 | AVAILABLE  | 2003/05/07 | 768 | 5 | 45 | 238
|GC14RQQ    | Into the Unknown [Torredeita, Viseu] | VISEU      | Bringer    | 40.63 | -8.03 | MULTI      | REGULAR    | 2.00 | 3.50 | AVAILABLE  | 2007/07/28 | 67 | 7 | 3 | 420
|GC177GZ    | Por Terras da Cereja | CASTELO BRANCO | nmcouto    | 40.11 | -7.50 | MULTI      | MICRO      | 1.50 | 1.50 | AVAILABLE  | 2007/11/06 | 87 | 13 | 4 | 1136
|GCA16D     | Tale of Pedra da Mua | SETUBAL    | MAntunes   | 38.43 | -9.21 | TRADITIONAL | REGULAR    | 1.50 | 1.50 | AVAILABLE  | 2002/10/27 | 635 | 15 | 29 | 84
|GCHZA1     | Curral          | ARQUIPELAGO DA MADEIRA | bacalhau   | 32.71 | -16.96 | TRADITIONAL | REGULAR    | 1.50 | 3.00 | AVAILABLE  | 2004/02/16 | 917 | 14 | 53 | -9999999
|GC154CN    | My Precious...  | SANTAREM   | tiand      | 39.55 | -8.29 | TRADITIONAL | REGULAR    | 3.00 | 5.00 | AVAILABLE  | 2007/07/31 | 269 | 5 | 23 | -9999999
|GC15527    | E A PONTE LOURIDO ?! | PORTO      | eterlusitano | 41.35 | -7.99 | TRADITIONAL | SMALL      | 2.50 | 3.00 | AVAILABLE  | 2007/08/14 | 25 | 11 | 5 | 116
|GCQ6JN     | Senhora da Guia [Belinho - Esposende] | BRAGA      | Paulo618   | 41.59 | -8.78 | TRADITIONAL | REGULAR    | 2.00 | 1.50 | AVAILABLE  | 2005/08/18 | 621 | 8 | 10 | -9999999
|GCKQG3     | Antenas do Marao | VILA REAL  | loilok     | 41.25 | -7.89 | TRADITIONAL | SMALL      | 2.00 | 1.50 | AVAILABLE  | 2004/09/09 | 185 | 16 | 7 | 1401
|GC11KQR    | 360. View [Aroeira] | SETUBAL    | Blue_Trekkers | 38.57 | -9.19 | MULTI      | NOT_CHOSEN | 2.50 | 2.50 | AVAILABLE  | 2007/03/22 | 396 | 9 | 16 | 75
|GCQM5Z     | The River [Vilar da Veiga- Geres] | BRAGA      | razalas    | 41.71 | -8.09 | TRADITIONAL | REGULAR    | 2.00 | 3.00 | AVAILABLE  | 2005/09/16 | 339 | 6 | 15 | 420
|GCZCZ8     | Upheaval at 90 million years - DP/EC4 | LISBOA     | danieloliveira | 38.74 | -9.46 | EARTHCACHE | NOT_CHOSEN | 3.00 | 1.00 | AVAILABLE  | 2006/11/20 | 228 | 0 | 2 | 52
|GCW68V     | Cerro do Guilhim [Faro] | FARO       | Campina82  | 37.10 | -7.93 | TRADITIONAL | REGULAR    | 1.50 | 2.50 | AVAILABLE  | 2006/05/22 | 208 | 1 | 11 | 284
|GCQ8H0     | Em busca das nascentes do Sado | BEJA       | MAntunes   | 37.65 | -8.26 | MULTI      | REGULAR    | 1.50 | 3.00 | AVAILABLE  | 2005/08/21 | 42 | 7 | 7 | 154
|GC14KTH    | Barragem de Paradela | VILA REAL  | os_cinco_airados | 41.77 | -7.97 | TRADITIONAL | MICRO      | 1.50 | 1.50 | AVAILABLE  | 2007/07/24 | 133 | 6 | 0 | 726
|GCPZ38     | Lost Lagoon     | VILA REAL  | World_Photographer | 41.76 | -8.03 | TRADITIONAL | REGULAR    | 2.50 | 2.50 | AVAILABLE  | 2006/04/06 | 121 | 6 | 23 | 736
|GC13ZX0    | Nascente do Rio Este | BRAGA      | jcr        | 41.58 | -8.33 | TRADITIONAL | REGULAR    | 2.00 | 1.50 | AVAILABLE  | 2007/06/28 | 198 | 5 | 1 | 479
